Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
186000,2023,Manuelle,diesel,Opel,Corsa,5,Oui,Très bon,12499,6
187000,2021,Automatique,diesel,Dacia,Duster,5,Oui,Très bon,97499,6
99000,2009,Manuelle,diesel,BMW,Série 1,3,Oui,Excellent,224999,8
115000,2017,Manuelle,diesel,Fiat,Tipo,5,Oui,Bon,104999,5
162000,2022,Automatique,essence,DFSK,Glory IX5,5,Oui,Excellent,72499,8
157000,2022,Automatique,essence,Fiat,500,3,Oui,Excellent,32499,7
56000,2007,Manuelle,essence,Seat,Leon,5,Non,Excellent,224999,8
120000,2014,Manuelle,diesel,Ford,Focus,5,Oui,Bon,174999,6
250000,2020,Automatique,diesel,Peugeot,3008,5,Oui,Excellent,92499,8
194000,2020,Manuelle,diesel,Renault,Kadjar,5,Oui,Excellent,82499,6
229000,2021,Automatique,diesel,Kia,Seltos,5,Oui,Très bon,104999,6
220000,2016,Automatique,diesel,Audi,A4,5,Oui,Très bon,134999,8
256000,2023,Automatique,diesel,Kia,Seltos,5,Oui,Très bon,22499,6
170000,2023,Manuelle,diesel,Renault,Clio,5,Oui,Très bon,32499,6
189000,2018,Automatique,diesel,Renault,Kadjar,5,Oui,Très bon,104999,8
326000,2021,Automatique,diesel,Peugeot,3008,5,Oui,Très bon,62499,6
298000,2020,Automatique,diesel,Hyundai,Tucson,5,Oui,Très bon,72499,6
154000,2021,Automatique,diesel,Renault,Clio,5,Oui,Excellent,97499,6
435000,2020,Automatique,diesel,Mercedes-Benz,Classe E,3,Oui,Excellent,87499,8
315000,2022,Automatique,diesel,Hyundai,Tucson,5,Oui,Excellent,82499,8
355000,2023,Automatique,hybride,Alfa Romeo,Tonale,5,Oui,Très bon,17499,8
136000,2021,Manuelle,diesel,Citroen,C-Elysée,5,Oui,Très bon,104999,6
224000,2022,Automatique,essence,Nissan,Juke,5,Oui,Très bon,72499,6
239000,2023,Automatique,essence,Nissan,Qashqai,5,Oui,Excellent,92499,6
179000,2022,Automatique,diesel,Hyundai,Accent,5,Oui,Excellent,62499,6
114000,2019,Manuelle,diesel,Dacia,Logan,5,Oui,Neuf,134999,6
146000,2023,Manuelle,diesel,Dacia,Sandero,5,Oui,Très bon,42499,6
170000,2023,Manuelle,diesel,Renault,Clio,5,Oui,Excellent,12499,6
159000,2021,Manuelle,diesel,Citroen,C3,5,Oui,Très bon,52499,6
158000,2018,Automatique,essence,Honda,Civic,5,Oui,Bon,134999,11
119000,2019,Manuelle,essence,Opel,Adam,5,Oui,Très bon,72499,7
169000,2022,Manuelle,diesel,Renault,Clio,5,Oui,Très bon,72499,6
284000,2019,Automatique,diesel,Hyundai,Tucson,5,Oui,Très bon,87499,6
134000,2022,Manuelle,diesel,Fiat,Fiorino,5,Oui,Bon,72499,6
149000,2023,Automatique,essence,Hyundai,i10,5,Oui,Très bon,32499,7
175000,2019,Automatique,essence,Honda,HR-V,5,Oui,Excellent,32499,8
234000,2020,Automatique,hybride,Toyota,C-HR,5,Oui,Excellent,82499,10
148000,2019,Manuelle,diesel,Fiat,500X,5,Oui,Bon,72499,6
143000,2021,Manuelle,essence,Seat,Ibiza,5,Oui,Excellent,42499,6
